Party,Criminal Case,Total Assets,Liabilities,state,Education
DMK,4,2110000000,20000000,TAMIL NADU,8th Pass
BJP,0,10000000,0,MADHYA PRADESH,12th Pass
INC,0,70000000,2200000,KARNATAKA,Post Graduate
BJP,0,90000000,2400000,BIHAR,Post Graduate
BJP,2,20000000,6100000,WEST BENGAL,8th Pass
AITC,0,30000000,2900000,WEST BENGAL,Graduate Professional
BJP,0,20000000,0,UTTAR PRADESH,Post Graduate
AAP,1,90000000,20000000,PUNJAB,Graduate
SP,1,50000000,3500000,UTTAR PRADESH,Post Graduate
BJP,6,220000000,20000000,MAHARASHTRA,Graduate
BJP,1,0,1000000,WEST BENGAL,Post Graduate
BJP,2,10000000,0,ODISHA,Graduate
INC,1,70000000,20000000,HIMACHAL PRADESH,Graduate
INC,3,30000000,100000,MAHARASHTRA,Graduate
BJP,0,80000000,0,UTTAR PRADESH,10th Pass
AITC,0,10000000,100000,WEST BENGAL,Graduate Professional
NPP,0,120000000,0,MEGHALAYA,Graduate
BJD,0,630000000,1500000,ODISHA,Graduate
IND,1,1100000,0,KERALA,10th Pass
AITC,0,10000000,0,WEST BENGAL,Post Graduate
BJD,0,310000000,1000000,ODISHA,12th Pass
SHS,1,0,7300000,MAHARASHTRA,Graduate
BJP,4,6000000,500000,ODISHA,Post Graduate
BJD,1,0,600000,ODISHA,12th Pass
INC,0,110000000,10000000,HARYANA,Graduate Professional
AITC,0,10000000,400000,WEST BENGAL,Post Graduate
RJD,5,50000000,4200000,BIHAR,12th Pass
DMK,0,90000000,40000000,TAMIL NADU,Graduate Professional
BJD,0,170000000,10000000,ODISHA,Graduate
BJP,0,30000000,400000,MADHYA PRADESH,Graduate
BJP,1,1800000,300000,DELHI,Graduate
YSRCP,0,80000000,1800000,ANDHRA PRADESH,Post Graduate
BJP,0,410000000,170000000,MADHYA PRADESH,Graduate Professional
BJP,0,40000000,3900000,MANIPUR,Post Graduate
BJP,0,60000000,2600000,HIMACHAL PRADESH,Graduate
BJP,1,9500000,0,UTTAR PRADESH,Graduate Professional
AIADMK,0,60000000,2900000,TAMIL NADU,Graduate
BJP,5,60000000,40000000,RAJASTHAN,Others
INC,7,60000000,0,KERALA,Graduate Professional
INC,10,90000000,800000,MAHARASHTRA,Graduate Professional
BJP,3,210000000,20000000,UTTAR PRADESH,Graduate
INC,0,100000000,30000000,KARNATAKA,Graduate
DMK,6,90000000,70000000,TAMIL NADU,Graduate
BJP,0,40000000,900000,KARNATAKA,12th Pass
BJP,5,190000000,900000,UTTAR PRADESH,Graduate
BJP,0,500000,0,ASSAM,Post Graduate
AITC,0,30000000,2800000,WEST BENGAL,Graduate Professional
BJP,0,640000000,800000,ARUNACHAL PRADESH,Graduate
INC,5,5000000,0,JHARKHAND,Graduate
BJP,6,30000000,1400000,GUJARAT,12th Pass
CPI(M),0,800000,0,TRIPURA,Post Graduate
BJP,0,10000000,3700000,MANIPUR,Graduate
BJD,4,5700000,1000000,ODISHA,Post Graduate
SP,3,1600000,0,UTTAR PRADESH,12th Pass
INC,2,50000000,4700000,MADHYA PRADESH,10th Pass
BJP,0,0,60000000,HARYANA,Graduate
YSRCP,2,70000000,2300000,ANDHRA PRADESH,Graduate Professional
RJD,2,20000000,100000,BIHAR,Graduate
BJP,1,20000000,300000,BIHAR,Graduate
BJD,0,100000000,9000000,ODISHA,Graduate
BJP,0,9000000,700000,ASSAM,Post Graduate
INC,0,10000000,700000,CHHATTISGARH,Post Graduate
AITC,0,10000000,0,WEST BENGAL,Post Graduate
BJP,0,30000000,0,UTTARAKHAND,Post Graduate
